GROUP,SUBJECT,PHASE,HAND,TRIAL,TRIAL_ABS,TARGET,ROT,SIG_MP,SIG_EP,HA_INIT,HA_MID,HA_END
7,2,ADAPTATION,RH,22,32,0,-19,1,1,5.133738684,6.833145848,16.81829777
7,2,ADAPTATION,RH,23,33,0,-12,1,1,3.825610766,9.292337205,14.71749494
7,2,ADAPTATION,RH,24,34,0,-11,1,1,6.292670294,4.272718501,9.887593752
7,2,ADAPTATION,RH,25,35,0,-16,1,1,5.080515026,9.372502408,14.5078927
7,2,ADAPTATION,RH,26,36,0,-10,1,1,7.920728827,2.784271117,11.24186858
7,2,ADAPTATION,RH,27,37,0,-7,1,1,6.82193287,4.591940821,5.146130351
7,2,ADAPTATION,RH,28,38,0,-9,1,1,5.854433117,6.385583706,5.347473597
7,2,ADAPTATION,RH,29,39,0,-18,1,1,8.133876707,7.177936365,15.26602099
7,2,ADAPTATION,RH,30,40,0,-15,1,1,7.27472045,4.150982987,11.38503365
7,2,ADAPTATION,RH,31,41,0,-15,1,1,6.2836654,9.113880557,15.83047282
7,2,ADAPTATION,RH,32,42,0,-13,1,1,3.846177129,7.481913273,14.52295256
7,2,ADAPTATION,RH,33,43,0,-15,1,1,8.394782814,5.509816226,11.82843417
7,2,ADAPTATION,RH,34,44,0,-15,1,1,5.537690566,5.405564529,15.77557351
7,2,ADAPTATION,RH,35,45,0,-4,1,1,5.146485352,5.957810212,2.343495191
7,2,ADAPTATION,RH,36,46,0,-13,1,1,5.967966559,6.293965997,12.51852379
7,2,ADAPTATION,RH,37,47,0,-13,1,1,8.101050154,7.811765261,11.88473654
7,2,ADAPTATION,RH,38,48,0,-11,1,1,6.257070614,8.038980718,10.23275186
7,2,ADAPTATION,RH,39,49,0,-19,1,1,3.80110304,7.042270032,15.18080264
7,2,ADAPTATION,RH,40,50,0,-17,1,1,5.565844379,8.133511594,12.76174951
7,2,ADAPTATION,RH,41,51,0,-10,1,1,4.567329902,7.070706012,8.980255627
7,2,ADAPTATION,RH,42,52,0,-11,1,1,5.687348657,8.812229474,11.37630215
7,2,ADAPTATION,RH,43,53,0,-17,1,1,3.778540362,11.65925891,15.52710239
7,2,ADAPTATION,RH,44,54,0,-7,1,1,7.042045665,10.34075534,9.473678653
7,2,ADAPTATION,RH,45,55,0,-12,1,1,5.689344615,7.842516936,9.902129138
7,2,ADAPTATION,RH,46,56,0,-11,1,1,4.658790903,9.033252076,8.581089641
7,2,ADAPTATION,RH,47,57,0,-12,1,1,5.310755707,8.484126763,11.55402686
7,2,ADAPTATION,RH,48,58,0,-14,1,1,9.060114859,8.009952955,11.83055556
7,2,ADAPTATION,RH,49,59,0,-19,1,1,4.174294929,8.305369524,18.37699249
7,2,ADAPTATION,RH,50,60,0,-13,1,1,7.58101995,11.25143834,9.100168222
7,2,ADAPTATION,RH,51,61,0,-18,1,1,6.990602707,7.964396541,14.73306455
7,2,ADAPTATION,RH,52,62,0,-13,1,1,4.308558567,9.51506444,12.2176445
7,2,ADAPTATION,RH,53,63,0,-11,1,1,6.818386396,10.43776053,9.414405709
7,2,ADAPTATION,RH,54,64,0,-11,1,1,4.929363956,7.1638305,8.590479715
7,2,ADAPTATION,RH,55,65,0,-18,1,1,8.493003938,6.267002152,17.9735046
7,2,ADAPTATION,RH,56,66,0,-11,1,1,7.964401435,10.92853142,12.37670032
7,2,ADAPTATION,RH,57,67,0,-17,1,1,6.667830566,10.20970696,18.4983345
7,2,ADAPTATION,RH,58,68,0,-11,1,1,4.962929448,8.40783434,11.90023719
7,2,ADAPTATION,RH,59,69,0,-10,1,1,5.940523101,11.82802109,8.779202166
7,2,ADAPTATION,RH,60,70,0,-6,1,1,6.022412163,10.23972625,6.348701218
7,2,ADAPTATION,RH,61,71,0,-20,1,1,7.747375086,8.830985741,18.1319823
7,2,ADAPTATION,RH,62,72,0,-9,1,1,9.586457764,8.8172692,11.53208635
7,2,ADAPTATION,RH,63,73,0,-13,1,1,8.648280657,8.748115515,11.80818833
7,2,ADAPTATION,RH,64,74,0,-12,1,1,6.277159943,7.604724458,8.097161913
7,2,ADAPTATION,RH,65,75,0,-14,1,1,3.437417019,15.38699856,10.952411
7,2,ADAPTATION,RH,66,76,0,-11,1,1,5.767182965,5.32746468,12.02210451
7,2,ADAPTATION,RH,67,77,0,-13,1,1,7.979441546,10.52247996,12.25210458
7,2,ADAPTATION,RH,68,78,0,-14,1,1,5.186587296,10.03235607,14.87226452
7,2,ADAPTATION,RH,69,79,0,-14,1,1,7.332831175,7.481461819,13.87496726
7,2,ADAPTATION,RH,70,80,0,-10,1,1,10.32232699,9.825643879,7.1974034
7,2,ADAPTATION,RH,71,81,0,-10,1,1,10.66156416,10.95674764,12.54806306
7,2,ADAPTATION,RH,72,82,0,-8,1,1,7.795436144,12.29087025,6.051310828
7,2,ADAPTATION,RH,73,83,0,-11,1,1,11.01621503,10.49255463,10.65121582
7,2,ADAPTATION,RH,74,84,0,-13,1,1,8.648704349,11.48656698,12.5906271
7,2,ADAPTATION,RH,75,85,0,-17,1,1,8.959025009,13.89713229,16.18151364
7,2,ADAPTATION,RH,76,86,0,-11,1,1,8.686029975,10.1846512,13.73716664
7,2,ADAPTATION,RH,77,87,0,-13,1,1,6.618252748,9.293049574,14.45691046
7,2,ADAPTATION,RH,78,88,0,-11,1,1,8.027476817,7.609046523,8.899250718
7,2,ADAPTATION,RH,79,89,0,-9,1,1,8.701711115,12.25538301,7.464463765
7,2,ADAPTATION,RH,80,90,0,-14,1,1,10.06776126,9.556301136,15.19053172
7,2,ADAPTATION,RH,81,91,0,-14,1,1,2.584179186,13.5013505,14.41439504
7,2,ADAPTATION,RH,82,92,0,-13,1,1,6.048778555,10.81747348,12.77824341
7,2,ADAPTATION,RH,83,93,0,-11,1,1,10.5596694,10.44314105,10.84040926
7,2,ADAPTATION,RH,84,94,0,-4,1,1,9.119508595,9.619975388,6.874855121
7,2,ADAPTATION,RH,85,95,0,-15,1,1,8.28029763,9.758934828,13.01527496
7,2,ADAPTATION,RH,86,96,0,-7,1,1,8.918615659,8.293395807,12.26025666
7,2,ADAPTATION,RH,87,97,0,-13,1,1,10.26849601,12.09328932,12.38294934
7,2,ADAPTATION,RH,88,98,0,-8,1,1,6.039596433,10.07601293,8.667226714
7,2,ADAPTATION,RH,89,99,0,-12,1,1,8.780213259,12.25462027,10.99801954
7,2,ADAPTATION,RH,90,100,0,-14,1,1,4.223983385,7.593473351,13.71813045
7,2,ADAPTATION,RH,91,101,0,-13,1,1,8.277527902,11.73960535,12.79564707
7,2,ADAPTATION,RH,92,102,0,-8,1,1,8.232933121,9.239498499,6.958990905
